General:Pos	"General:Sample Name"	"General:Repl. Of"	"General:Filt. Comb."	"General:Target Name"	"Sample Preferences:Color"	"Abs Quant:Concentration"	"Rel Quant:Efficiency"	"Rel Quant:Combined Sample/Target type"
M23	"#2 0 ug/ml LPS"	M22	465-510	EF1	$00FD0299	""	2.00	"Target Unknown"
M24	"#2 0 ug/ml LPS"	M22	465-510	EF1	$0026C4B8	""	2.00	"Target Unknown"
N1	"#3 0 ug/ml LPS"	N1	465-510	EF1	$00FF8000	""	2.00	"Target Unknown"
N2	"#3 0 ug/ml LPS"	N1	465-510	EF1	clRed	""	2.00	"Target Unknown"
N3	"#3 0 ug/ml LPS"	N1	465-510	EF1	$0030D700	""	2.00	"Target Unknown"
N4	"#4 10 ug/ml LPS"	N4	465-510	EF1	clFuchsia	""	2.00	"Target Unknown"
N5	"#4 10 ug/ml LPS"	N4	465-510	EF1	clGray	""	2.00	"Target Unknown"
N6	"#4 10 ug/ml LPS"	N4	465-510	EF1	$0012D7FA	""	2.00	"Target Unknown"
N7	"#5 10 ug/ml LPS"	N7	465-510	EF1	$00000097	""	2.00	"Target Unknown"
N8	"#5 10 ug/ml LPS"	N7	465-510	EF1	$00FFFF0F	""	2.00	"Target Unknown"
N9	"#5 10 ug/ml LPS"	N7	465-510	EF1	$00404000	""	2.00	"Target Unknown"
N10	"#6 10 ug/ml LPS"	N10	465-510	EF1	$004080FF	""	2.00	"Target Unknown"
N11	"#6 10 ug/ml LPS"	N10	465-510	EF1	$00FD0299	""	2.00	"Target Unknown"
N12	"#6 10 ug/ml LPS"	N10	465-510	EF1	$0026C4B8	""	2.00	"Target Unknown"
N13	"#7 50 ug/ml LPS"	N13	465-510	EF1	$00FF8000	""	2.00	"Target Unknown"
N14	"#7 50 ug/ml LPS"	N13	465-510	EF1	clRed	""	2.00	"Target Unknown"
N15	"#7 50 ug/ml LPS"	N13	465-510	EF1	$0030D700	""	2.00	"Target Unknown"
N16	"#8 50 ug/ml LPS"	N16	465-510	EF1	clFuchsia	""	2.00	"Target Unknown"
N17	"#8 50 ug/ml LPS"	N16	465-510	EF1	clGray	""	2.00	"Target Unknown"
N18	"#8 50 ug/ml LPS"	N16	465-510	EF1	$0012D7FA	""	2.00	"Target Unknown"
N19	"#9 50 ug/ml LPS"	N19	465-510	EF1	$00000097	""	2.00	"Target Unknown"
N20	"#9 50 ug/ml LPS"	N19	465-510	EF1	$00FFFF0F	""	2.00	"Target Unknown"
N21	"#9 50 ug/ml LPS"	N19	465-510	EF1	$00404000	""	2.00	"Target Unknown"
N22	"#10 100 ug/ml LPS"	N22	465-510	EF1	$004080FF	""	2.00	"Target Unknown"
N23	"#10 100 ug/ml LPS"	N22	465-510	EF1	$00FD0299	""	2.00	"Target Unknown"
N24	"#10 100 ug/ml LPS"	N22	465-510	EF1	$0026C4B8	""	2.00	"Target Unknown"
O1	"#11 100 ug/ml LPS"	O1	465-510	EF1	$00FF8000	""	2.00	"Target Unknown"
O2	"#11 100 ug/ml LPS"	O1	465-510	EF1	clRed	""	2.00	"Target Unknown"
O3	"#11 100 ug/ml LPS"	O1	465-510	EF1	$0030D700	""	2.00	"Target Unknown"
O4	"#12 100 ug/ml LPS"	O4	465-510	EF1	clFuchsia	""	2.00	"Target Unknown"
O5	"#12 100 ug/ml LPS"	O4	465-510	EF1	clGray	""	2.00	"Target Unknown"
O6	"#12 100 ug/ml LPS"	O4	465-510	EF1	$0012D7FA	""	2.00	"Target Unknown"
O7	"Sample 343"	""	465-510	""	$00000097	""	2.00	"Unassigned Unknown"
O8	"Sample 344"	""	465-510	""	$00FFFF0F	""	2.00	"Unassigned Unknown"
O9	"Sample 345"	""	465-510	""	$00404000	""	2.00	"Unassigned Unknown"
O10	"Sample 346"	""	465-510	""	$004080FF	""	2.00	"Unassigned Unknown"
O11	"Sample 347"	""	465-510	""	$00FD0299	""	2.00	"Unassigned Unknown"
O12	"Sample 348"	""	465-510	""	$0026C4B8	""	2.00	"Unassigned Unknown"
O13	"Sample 349"	""	465-510	""	$00FF8000	""	2.00	"Unassigned Unknown"
O14	"Sample 350"	""	465-510	""	clRed	""	2.00	"Unassigned Unknown"
O15	"Sample 351"	""	465-510	""	$0030D700	""	2.00	"Unassigned Unknown"
O16	"Sample 352"	""	465-510	""	clFuchsia	""	2.00	"Unassigned Unknown"
O17	"Sample 353"	""	465-510	""	clGray	""	2.00	"Unassigned Unknown"
O18	"Sample 354"	""	465-510	""	$0012D7FA	""	2.00	"Unassigned Unknown"
O19	"Sample 355"	""	465-510	""	$00000097	""	2.00	"Unassigned Unknown"
O20	"Sample 356"	""	465-510	""	$00FFFF0F	""	2.00	"Unassigned Unknown"
O21	"Sample 357"	""	465-510	""	$00404000	""	2.00	"Unassigned Unknown"
O22	"Sample 358"	""	465-510	""	$004080FF	""	2.00	"Unassigned Unknown"
O23	"Sample 359"	""	465-510	""	$00FD0299	""	2.00	"Unassigned Unknown"
O24	"Sample 360"	""	465-510	""	$0026C4B8	""	2.00	"Unassigned Unknown"
P1	"Sample 361"	""	465-510	""	$00FF8000	""	2.00	"Unassigned Unknown"
P2	"Sample 362"	""	465-510	""	clRed	""	2.00	"Unassigned Unknown"
P3	"Sample 363"	""	465-510	""	$0030D700	""	2.00	"Unassigned Unknown"
P4	"Sample 364"	""	465-510	""	clFuchsia	""	2.00	"Unassigned Unknown"
P5	"Sample 365"	""	465-510	""	clGray	""	2.00	"Unassigned Unknown"
P6	"Sample 366"	""	465-510	""	$0012D7FA	""	2.00	"Unassigned Unknown"
P7	"Sample 367"	""	465-510	""	$00000097	""	2.00	"Unassigned Unknown"
P8	"Sample 368"	""	465-510	""	$00FFFF0F	""	2.00	"Unassigned Unknown"
P9	"Sample 369"	""	465-510	""	$00404000	""	2.00	"Unassigned Unknown"
P10	"Sample 370"	""	465-510	""	$004080FF	""	2.00	"Unassigned Unknown"
P11	"Sample 371"	""	465-510	""	$00FD0299	""	2.00	"Unassigned Unknown"
P12	"Sample 372"	""	465-510	""	$0026C4B8	""	2.00	"Unassigned Unknown"
P13	"Sample 373"	""	465-510	""	$00FF8000	""	2.00	"Unassigned Unknown"
P14	"Sample 374"	""	465-510	""	clRed	""	2.00	"Unassigned Unknown"
P15	"Sample 375"	""	465-510	""	$0030D700	""	2.00	"Unassigned Unknown"
P16	"Sample 376"	""	465-510	""	clFuchsia	""	2.00	"Unassigned Unknown"
P17	"Sample 377"	""	465-510	""	clGray	""	2.00	"Unassigned Unknown"
P18	"Sample 378"	""	465-510	""	$0012D7FA	""	2.00	"Unassigned Unknown"
P19	"Sample 379"	""	465-510	""	$00000097	""	2.00	"Unassigned Unknown"
P20	"Sample 380"	""	465-510	""	$00FFFF0F	""	2.00	"Unassigned Unknown"
P21	"Sample 381"	""	465-510	""	$00404000	""	2.00	"Unassigned Unknown"
P22	"Sample 382"	""	465-510	""	$004080FF	""	2.00	"Unassigned Unknown"
P23	"Sample 383"	""	465-510	""	$00FD0299	""	2.00	"Unassigned Unknown"
P24	"Sample 384"	""	465-510	""	$0026C4B8	""	2.00	"Unassigned Unknown"
